# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3784.500 0.42 3.17 7.61 5.22 0.72 9.51 13.18 15.67
3785.000 0.42 3.17 7.61 5.23 0.72 9.50 13.18 15.68
3785.500 0.41 3.15 7.61 5.23 0.72 9.45 13.18 15.68
3786.000 0.41 3.12 7.61 5.22 0.71 9.37 13.17 15.67
3786.500 0.41 3.09 7.60 5.22 0.70 9.27 13.17 15.66
3787.000 0.40 3.05 7.60 5.21 0.70 9.16 13.16 15.64
3787.500 0.40 3.02 7.60 5.20 0.69 9.05 13.16 15.61
3788.000 0.39 2.98 7.59 5.19 0.68 8.93 13.15 15.58
3788.500 0.39 2.94 7.59 5.18 0.67 8.82 13.15 15.55
3789.000 0.38 2.90 7.59 5.17 0.66 8.70 13.14 15.51
3789.500 0.38 2.86 7.58 5.16 0.65 8.58 13.14 15.48
3790.000 0.37 2.82 7.58 5.15 0.64 8.45 13.13 15.45
3790.500 0.37 2.77 7.58 5.14 0.63 8.30 13.12 15.41
3791.000 0.36 2.72 7.57 5.13 0.62 8.15 13.12 15.38
3791.500 0.35 2.66 7.57 5.12 0.61 7.98 13.11 15.35
3792.000 0.34 2.61 7.56 5.10 0.60 7.82 13.10 15.31
3792.500 0.34 2.55 7.56 5.09 0.58 7.66 13.09 15.28
3793.000 0.33 2.50 7.56 5.08 0.57 7.49 13.09 15.25
3793.500 0.32 2.44 7.55 5.07 0.56 7.33 13.08 15.21
3794.000 0.32 2.39 7.55 5.06 0.55 7.18 13.07 15.18
3794.500 0.31 2.35 7.54 5.05 0.54 7.04 13.06 15.15
3795.000 0.31 2.32 7.54 5.04 0.53 6.95 13.06 15.12
3795.500 0.30 2.30 7.54 5.03 0.53 6.90 13.06 15.09
3796.000 0.30 2.29 7.54 5.03 0.53 6.88 13.06 15.08
3796.500 0.30 2.30 7.54 5.03 0.53 6.89 13.06 15.08
3797.000 0.31 2.30 7.54 5.03 0.53 6.90 13.06 15.08
3797.500 0.31 2.31 7.54 5.03 0.53 6.92 13.06 15.10
3798.000 0.31 2.31 7.54 5.05 0.53 6.94 13.06 15.15
3798.500 0.31 2.32 7.55 5.11 0.53 6.96 13.07 15.32
3799.000 0.31 2.33 7.56 5.26 0.53 6.99 13.09 15.77
3799.500 0.31 2.35 7.58 5.56 0.54 7.05 13.12 16.68
3800.000 0.31 2.38 7.61 6.07 0.54 7.15 13.19 18.22
3800.500 0.32 2.43 7.64 6.42 0.55 7.30 13.23 19.26
3801.000 0.33 2.50 7.64 6.42 0.57 7.49 13.24 19.25
3801.500 0.34 2.57 7.63 6.08 0.58 7.70 13.21 18.23
3802.000 0.35 2.64 7.60 5.57 0.60 7.93 13.16 16.72
3802.500 0.36 2.72 7.58 5.30 0.62 8.16 13.14 15.89
3803.000 0.37 2.80 7.58 5.17 0.64 8.39 13.13 15.51
3803.500 0.38 2.87 7.58 5.13 0.66 8.62 13.13 15.38
3804.000 0.39 2.95 7.59 5.13 0.67 8.85 13.14 15.38
3804.500 0.40 3.02 7.59 5.13 0.69 9.07 13.15 15.39
3805.000 0.41 3.10 7.60 5.14 0.71 9.29 13.16 15.41
3805.500 0.42 3.17 7.60 5.14 0.72 9.50 13.17 15.43
3806.000 0.42 3.23 7.61 5.14 0.74 9.70 13.18 15.43
3806.500 0.43 3.30 7.61 5.14 0.75 9.90 13.18 15.43
3807.000 0.44 3.36 7.62 5.14 0.76 10.09 13.19 15.43
3807.500 0.45 3.43 7.62 5.14 0.78 10.28 13.20 15.41
3808.000 0.46 3.49 7.62 5.13 0.79 10.48 13.21 15.40
3808.500 0.47 3.56 7.63 5.13 0.81 10.67 13.21 15.38
3809.000 0.47 3.62 7.63 5.12 0.82 10.86 13.22 15.36
3809.500 0.48 3.68 7.64 5.12 0.83 11.03 13.22 15.35
3810.000 0.49 3.73 7.64 5.11 0.85 11.18 13.23 15.33
3810.500 0.49 3.77 7.64 5.10 0.85 11.30 13.23 15.31
3811.000 0.50 3.80 7.64 5.10 0.86 11.40 13.24 15.29
3811.500 0.50 3.83 7.64 5.09 0.87 11.48 13.24 15.28
3812.000 0.50 3.85 7.64 5.09 0.87 11.56 13.24 15.26
3812.500 0.51 3.88 7.65 5.08 0.88 11.63 13.24 15.24
3813.000 0.51 3.90 7.65 5.07 0.88 11.71 13.25 15.22
3813.500 0.51 3.93 7.65 5.07 0.89 11.78 13.25 15.21
3814.000 0.52 3.95 7.65 5.06 0.89 11.85 13.25 15.19
3814.500 0.52 3.97 7.65 5.06 0.90 11.91 13.25 15.18
3815.000 0.52 3.98 7.65 5.06 0.90 11.94 13.25 15.18
3815.500 0.52 3.99 7.65 5.06 0.90 11.96 13.25 15.18
3816.000 0.52 3.98 7.65 5.06 0.90 11.95 13.25 15.19
3816.500 0.52 3.98 7.65 5.06 0.90 11.93 13.25 15.18
3817.000 0.52 3.97 7.65 5.04 0.90 11.91 13.25 15.12
3817.500 0.52 3.96 7.65 5.02 0.90 11.89 13.25 15.05
3818.000 0.52 3.95 7.65 4.99 0.90 11.86 13.24 14.98
3818.500 0.52 3.95 7.64 4.97 0.89 11.84 13.24 14.92
3819.000 0.51 3.94 7.64 4.96 0.89 11.81 13.24 14.87
3819.500 0.51 3.92 7.64 4.94 0.89 11.76 13.23 14.82
3820.000 0.51 3.90 7.64 4.93 0.88 11.69 13.23 14.78
3820.500 0.51 3.86 7.63 4.92 0.88 11.59 13.22 14.75
3821.000 0.50 3.82 7.63 4.91 0.87 11.47 13.22 14.74
3821.500 0.50 3.78 7.63 4.93 0.86 11.34 13.21 14.78
3822.000 0.49 3.73 7.63 4.96 0.85 11.20 13.21 14.88
3822.500 0.48 3.68 7.63 4.98 0.84 11.05 13.21 14.94
3823.000 0.48 3.64 7.62 4.97 0.83 10.91 13.20 14.91
3823.500 0.47 3.59 7.62 4.92 0.82 10.76 13.19 14.77
3824.000 0.47 3.54 7.61 4.86 0.81 10.62 13.18 14.58
3824.500 0.46 3.49 7.60 4.82 0.79 10.46 13.17 14.45
3825.000 0.45 3.43 7.60 4.79 0.78 10.28 13.16 14.36
3825.500 0.44 3.36 7.59 4.77 0.77 10.09 13.15 14.32
3826.000 0.43 3.29 7.59 4.77 0.75 9.88 13.14 14.31
3826.500 0.42 3.22 7.58 4.80 0.73 9.65 13.14 14.41
3827.000 0.41 3.14 7.59 4.93 0.72 9.43 13.14 14.79
3827.500 0.40 3.07 7.60 5.15 0.70 9.20 13.16 15.44
3828.000 0.39 2.99 7.61 5.37 0.68 8.98 13.18 16.11
3828.500 0.38 2.92 7.61 5.50 0.66 8.75 13.18 16.49
3829.000 0.37 2.84 7.59 5.34 0.65 8.53 13.15 16.02
3829.500 0.37 2.77 7.57 5.09 0.63 8.32 13.12 15.26
3830.000 0.36 2.71 7.56 4.88 0.62 8.12 13.09 14.64
3830.500 0.35 2.65 7.54 4.76 0.61 7.95 13.07 14.28
3831.000 0.35 2.60 7.54 4.73 0.60 7.81 13.06 14.20
