# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3754.000 0.11 1.31 11.44 3.05 0.20 3.94 19.81 9.15
3754.500 0.12 1.33 11.44 3.05 0.20 4.00 19.82 9.16
3755.000 0.12 1.35 11.44 3.06 0.20 4.06 19.82 9.18
3755.500 0.12 1.37 11.44 3.07 0.21 4.11 19.82 9.20
3756.000 0.12 1.39 11.44 3.07 0.21 4.16 19.82 9.21
3756.500 0.12 1.40 11.44 3.07 0.21 4.21 19.82 9.22
3757.000 0.12 1.42 11.45 3.08 0.22 4.27 19.82 9.23
3757.500 0.13 1.44 11.45 3.08 0.22 4.32 19.83 9.24
3758.000 0.13 1.46 11.45 3.08 0.22 4.37 19.83 9.24
3758.500 0.13 1.47 11.45 3.08 0.22 4.42 19.83 9.25
3759.000 0.13 1.49 11.45 3.09 0.23 4.47 19.83 9.26
3759.500 0.13 1.50 11.45 3.09 0.23 4.51 19.83 9.26
3760.000 0.13 1.51 11.45 3.09 0.23 4.54 19.83 9.27
3760.500 0.13 1.51 11.45 3.09 0.23 4.53 19.83 9.28
3761.000 0.13 1.50 11.45 3.09 0.23 4.51 19.83 9.28
3761.500 0.13 1.49 11.45 3.10 0.23 4.48 19.83 9.29
3762.000 0.13 1.48 11.45 3.10 0.22 4.45 19.83 9.30
3762.500 0.13 1.47 11.45 3.10 0.22 4.42 19.83 9.30
3763.000 0.13 1.46 11.45 3.10 0.22 4.39 19.83 9.31
3763.500 0.13 1.45 11.45 3.11 0.22 4.36 19.83 9.32
3764.000 0.13 1.44 11.45 3.11 0.22 4.33 19.83 9.32
3764.500 0.13 1.43 11.45 3.11 0.22 4.30 19.83 9.33
3765.000 0.12 1.42 11.45 3.11 0.21 4.26 19.83 9.33
3765.500 0.12 1.41 11.45 3.11 0.21 4.22 19.83 9.34
3766.000 0.12 1.39 11.45 3.12 0.21 4.17 19.82 9.35
3766.500 0.12 1.38 11.45 3.12 0.21 4.13 19.82 9.37
3767.000 0.12 1.36 11.45 3.13 0.21 4.08 19.82 9.39
3767.500 0.12 1.35 11.44 3.14 0.20 4.04 19.82 9.41
3768.000 0.12 1.33 11.44 3.14 0.20 3.99 19.82 9.43
3768.500 0.11 1.31 11.44 3.15 0.20 3.94 19.82 9.45
3769.000 0.11 1.30 11.44 3.16 0.20 3.90 19.82 9.47
3769.500 0.11 1.29 11.44 3.16 0.20 3.87 19.82 9.49
3770.000 0.11 1.29 11.44 3.17 0.19 3.86 19.82 9.51
3770.500 0.11 1.30 11.44 3.18 0.20 3.90 19.82 9.53
3771.000 0.12 1.32 11.45 3.19 0.20 3.96 19.82 9.56
3771.500 0.12 1.34 11.45 3.19 0.20 4.03 19.83 9.58
3772.000 0.12 1.37 11.45 3.20 0.21 4.10 19.83 9.60
3772.500 0.12 1.39 11.45 3.21 0.21 4.18 19.83 9.62
3773.000 0.12 1.42 11.45 3.21 0.21 4.26 19.83 9.64
3773.500 0.13 1.44 11.45 3.22 0.22 4.33 19.84 9.66
3774.000 0.13 1.47 11.45 3.23 0.22 4.41 19.84 9.68
