# lambda elam
9632.432432 0.351614
9638.638639 0.351086
9644.844845 0.350556
9651.051051 0.350023
9657.257257 0.349487
9663.463463 0.348948
9669.669670 0.348407
9675.875876 0.347862
9682.082082 0.347315
9688.288288 0.346765
9694.494494 0.346212
9700.700701 0.345656
9706.906907 0.345097
9713.113113 0.344535
9719.319319 0.343971
9725.525526 0.343403
9731.731732 0.342833
9737.937938 0.342260
9744.144144 0.341683
9750.350350 0.341104
9756.556557 0.340522
9762.762763 0.339937
9768.968969 0.339349
9775.175175 0.338758
9781.381381 0.338164
9787.587588 0.337567
9793.793794 0.336967
9800.000000 0.336364
